Month,,Food and Non-Alcoholic Beverages,Alcoholic Beverages and Tobacco,Clothing and Footwear,"Housing, Water, Electricity, Gas and Other Fuels","Furnishings, Household Equipment and Routine Household Maintenance",Health,Transport,Information and Communication,"Recreation, Sport and Culture",Education Services,Restaurants and Accommodation Services,Financial Services,"Personal Care, and Miscellaneous Goods and Services",,,Food and Non-Alcoholic Beverages,Alcoholic Beverages and Tobacco,Clothing and Footwear,"Housing, Water, Electricity, Gas and Other Fuels","Furnishings, Household Equipment and Routine Household Maintenance",Health,Transport,Information and Communication,"Recreation, Sport and Culture",Education Services,Restaurants and Accommodation Services,Financial Services,"Personal Care, and Miscellaneous Goods and Services",,
Jan,124.8,128.9,174.7,117,118.8,120.2,121.5,128.9,103.1,114.5,115.4,125.6,142.4,118.4,2 0 2 5,128.4,133.8,180.9,119.7,121.4,123.3,124.5,130.3,103.3,117.3,120.3,129.6,142.4,121.7,,
Feb,125.5,129.3,175.9,117.4,119.8,120.7,122,130.6,103.1,114.9,115.4,126.5,142.4,119,,128.1,132.6,181.9,119.9,121.7,123.5,124.8,130.4,103.4,117.7,120.3,130.1,142.4,122.1,,
Mar,125.6,128.9,176.3,117.9,119.8,121.1,122.4,130.9,103.1,115.2,115.4,127.5,142.4,119.3,,127.8,131.8,182.6,120,121.8,123.7,125.1,129.5,103.5,117.7,120.3,130.4,142.4,122.4,,
Apr,125.5,128.7,176.5,118.2,119.2,121.2,122.5,131.7,103.2,115.4,115.4,127.8,142.4,119.6,,127.3,129.9,183.1,120.1,122.6,123.8,125.4,128.9,103.5,117.8,120.3,130.7,142.4,122.6,,
May,125.6,128.7,176.8,118.4,119.8,121.5,122.7,131.1,103.2,115.5,115.4,128.2,142.4,119.8,,127.2,129.8,183.5,120.3,122.6,123.9,125.7,127.9,103.6,118,120.3,130.8,142.4,122.8,,
Unnamed: 11,,,,,,,,,,,,,,,,,,,,,,,,,,r,,,,,
Jun,125.6,129.5,177,118.5,118.4,121.6,122.9,130.7,103.2,115.7,115.4,128.4,142.4,120,,127.4,130,183.8,120.5,122.2,124.2,125.9,128.6,103.6,118.3,121.6,131.1,142.4,122.9,,
Jul,126.5,130.4,177,118.7,120,121.8,123.1,131.5,103.2,115.9,118.1,128.6,142.4,120.3,,,,,,,,,,,,,,,,,
Aug,126.6,130.4,177.2,119,120.9,121.9,123.2,129.6,103.2,116.5,120.1,128.7,142.4,120.5,,,,,,,,,,,,,,,,,
Sep,126.3,129.8,177.5,119.1,121.2,122.1,123.5,127.9,103.2,116.7,120.1,128.7,142.4,120.7,,,,,,,,,,,,,,,,,
Oct,126.5,130.4,177.8,119.2,120.9,122.2,123.7,128,103.2,116.9,120.1,128.8,142.4,120.9,,,,,,,,,,,,,,,,,
Nov,127,131.3,178.7,119.3,120.7,122.8,124,128.5,103.2,116.9,120.1,129,142.4,121.2,,,,,,,,,,,,,,,,,
Dec,127.7,132.3,179.5,119.4,121.2,123,124.2,130,103.2,117,120.1,129.4,142.4,121.5,,,,,,,,,,,,,,,,,
Ave,126.10000000000001,129.88333333333333,177.07500000000002,118.50833333333334,120.05833333333334,121.675,122.97500000000002,129.95,103.17500000000001,115.92500000000001,117.58333333333331,128.1,142.40000000000003,120.10000000000001,,,,,,,,,,,,,,,,,
Unnamed: 30,Phil,NCR,AONCR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year to Date,1.8,2.3,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
